salesDate,sales,memberID
2/18/2019,695,189900036349
8/19/2019,1020,60627008
5/13/2019,399,189900006464
4/17/2019,734,60240372
4/17/2019,74,60240324
4/17/2019,74,60240324
7/17/2019,170,183300048044
1/16/2019,250,60605650
3/13/2019,480,60494755
8/20/2019,1888,15000031851
2/12/2019,2999,60215819
5/14/2019,1200,60523909
4/16/2019,148,60367230
6/18/2019,516,189900074034
1/15/2019,895,60499430
1/18/2019,1699,15000020738
1/18/2019,699,60203035
1/18/2019,4990,60232547
9/13/2019,590,60232547
3/15/2019,357,60270965
1/18/2019,2399,60370588
1/17/2019,199,60292460
7/18/2019,299,60140871
7/18/2019,147,60140871
7/11/2019,590,15000006548
5/16/2019,3888,15000013076
7/15/2019,34436,60240372
8/19/2019,3888,15000028651
2/11/2019,1690,60203035
2/11/2019,479,60232547
7/15/2019,1200,60232547
9/16/2019,649,190500026634
8/19/2019,1000,189900066141
7/17/2019,2990,60419573
7/17/2019,20,183300048044
7/17/2019,150,183300048044
6/12/2019,37,60240324
8/14/2019,990,183300021014
7/17/2019,599,189900087777
1/16/2019,499,60605650
1/16/2019,499,60605650
7/17/2019,1990,60232547
3/13/2019,199,60494755
4/16/2019,1180,60268958
1/15/2019,539,183300034996
1/15/2019,539,183300034996
8/20/2019,1390,60443991
3/19/2019,73,60367168
3/19/2019,990,60367168
6/11/2019,99,15000034072
6/11/2019,525,15000034072
6/18/2019,298,189900074034
2/12/2019,370,60121528
2/12/2019,299,60121528
2/12/2019,599,60121528
5/17/2019,790,15000023358
4/19/2019,675,60574972
3/15/2019,1600,60270965
6/14/2019,499,60220740
6/14/2019,499,60220740
6/14/2019,829,60220740
2/15/2019,2890,60200332
1/17/2019,599,60292460
1/17/2019,1299,15000024477
7/18/2019,699,60232867
9/12/2019,950,60653118
8/15/2019,949,15000008061
2/11/2019,4990,60653118
8/19/2019,500,189900066141
4/17/2019,428,60240324
1/15/2019,719,183300034996
1/15/2019,719,183300034996
5/14/2019,1350,60523909
7/18/2019,310,60232867
7/17/2019,1550,183300048044
7/18/2019,1900,60584959
7/18/2019,649,60140871
8/26/2019,570,60653118
7/22/2019,1197,60627008
9/23/2019,990,191100007940
3/25/2019,3499,60232547
7/31/2019,1290,60257566
8/21/2019,749,183300051329
2/27/2019,3288,60203035
7/31/2019,1390,183600008668
5/22/2019,399,189900006464
8/21/2019,360,189900066141
1/29/2019,978,60097242
7/23/2019,176,60240372
7/23/2019,278,60240372
3/26/2019,175,60240902
5/21/2019,49,60589414
8/23/2019,2980,60453622
6/28/2019,589,15000032303
6/28/2019,589,15000032303
8/23/2019,60,60508751
8/23/2019,75,60508751
8/23/2019,79,60508751
8/23/2019,199,60508751
8/23/2019,138,60508751
4/25/2019,890,60232547
1/31/2019,199,60292460
8/22/2019,790,60644132
7/29/2019,1499,190500017201
3/25/2019,3290,60222575
9/23/2019,1688,60407021
5/29/2019,257,60240324
5/22/2019,16900,60298842
4/24/2019,799,60457275
8/28/2019,1180,60159410
3/26/2019,699,15000024607
4/23/2019,699,15000027410
7/23/2019,66,60240372
7/23/2019,119,60240372
3/26/2019,70,60240902
3/26/2019,130,60240902
3/26/2019,780,60240902
4/30/2019,599,183300021014
5/21/2019,99,60589414
5/21/2019,990,60589414
7/30/2019,599,183300040888
3/22/2019,818,60140596
3/22/2019,818,60140596
3/22/2019,818,60140596
3/22/2019,818,60140596
3/22/2019,928,60140596
5/24/2019,699,15000024607
7/26/2019,1190,60046280
1/25/2019,5988,15000025976
4/26/2019,1899,60367168
9/27/2019,279,60181157
9/27/2019,299,60181157
5/24/2019,1650,60316064
1/25/2019,3790,189900066095
9/27/2019,1639,60240372
5/31/2019,1398,186900056535
5/24/2019,159,186900026380
5/24/2019,199,186900026380
5/24/2019,199,186900026380
5/24/2019,1750,186900026380
5/24/2019,3490,186900026380
5/24/2019,99,189900065130
5/24/2019,1190,189900065130
5/24/2019,4890,15000033307
1/24/2019,200,15000007584
1/24/2019,2490,60452684
5/23/2019,1988,60240324
4/25/2019,990,60232547
4/25/2019,699,15000027410
1/31/2019,688,60292460
1/31/2019,599,60292460
1/31/2019,688,60292460
5/24/2019,899,186900026380
1/24/2019,1000,15000007584
1/24/2019,800,15000007584
1/31/2019,8990,60573016
4/1/2019,268,190500013045
4/1/2019,268,190500013045
4/1/2019,268,190500013045
4/1/2019,268,190500013045
9/9/2019,680,60232547
7/1/2019,3280,60248562
7/8/2019,499,60087749
6/10/2019,399,190500026122
7/1/2019,999,186900026380
7/10/2019,2790,60619089
7/10/2019,106,183300015017
6/5/2019,200,60627008
1/2/2019,372,60156618
1/2/2019,696,60156618
7/3/2019,49,60452629
7/3/2019,135,60452629
7/3/2019,567,60452629
9/10/2019,690,183600012447
4/2/2019,790,60572674
7/9/2019,74,15000034495
7/9/2019,447,15000034495
2/1/2019,250,60371228
6/6/2019,267,15000012123
5/2/2019,200,60232547
5/2/2019,200,60232547
6/10/2019,699,15000031962
9/9/2019,4990,183300055565
9/9/2019,690,60656110
3/4/2019,999,60465052
4/8/2019,1390,186900051026
7/8/2019,699,60087749
6/10/2019,1460,190500026122
9/2/2019,4707,186600031399
7/1/2019,890,189900071137
6/5/2019,699,15000033502
1/9/2019,399,183300039422
1/9/2019,2499,183300039422
6/5/2019,818,60140596
6/5/2019,818,60140596
6/5/2019,818,60140596
6/5/2019,818,60140596
6/5/2019,928,60140596
1/2/2019,1399,15000024685
7/3/2019,199,60452629
8/6/2019,610,60002525
1/8/2019,1602,60002525
9/10/2019,1990,15000004895
5/7/2019,617,15000031912
4/2/2019,1599,60407021
7/2/2019,110,183600020539
7/2/2019,399,183600020539
7/2/2019,1090,191100001972
9/10/2019,749,15000024607
7/5/2019,899,60658921
8/2/2019,590,183300015017
2/1/2019,139,60371228
2/1/2019,649,60371228
3/1/2019,2450,60590184
6/6/2019,279,15000012123
6/6/2019,500,15000012123
5/9/2019,118,60384947
5/9/2019,57,60384947
5/9/2019,236,60384947
5/9/2019,95,60384947
5/9/2019,171,60384947
5/9/2019,323,60384947
7/4/2019,1490,60232547
9/5/2019,750,190500008062
5/9/2019,1090,189900065130
5/6/2019,9990,189900084687
8/5/2019,3788,60205802
7/10/2019,498,183300015017
7/5/2019,7480,15000035111
8/8/2019,1380,189900090497
5/2/2019,1400,60232547
5/2/2019,1400,60232547
7/4/2019,1999,190500026634
6/5/2019,2780,60455464
7/2/2019,5899,60262942
1/14/2019,218,3939561
5/13/2019,1690,15000031715
5/20/2019,299,15000014438
6/17/2019,790,60069971
8/19/2019,7990,15000032126
6/17/2019,417,60069971
7/15/2019,129,60114892
7/15/2019,139,60114892
7/15/2019,149,60114892
7/15/2019,268,60114892
7/15/2019,268,60114892
7/15/2019,268,60114892
7/15/2019,268,60114892
2/11/2019,17900,3961624
8/12/2019,699,15000008140
5/20/2019,2190,60634728
9/16/2019,2150,60122324
1/16/2019,680,60033530
9/18/2019,700,183300013824
6/12/2019,70,3910530
6/12/2019,120,3910530
6/12/2019,210,3910530
2/13/2019,189,15000024336
2/13/2019,699,15000024336
7/17/2019,258,60455647
7/17/2019,298,60455647
2/12/2019,730,60097242
2/12/2019,876,60097242
9/17/2019,109,189900011189
6/18/2019,179,60367685
8/20/2019,229,60281739
2/19/2019,6590,60620500
2/19/2019,6990,60620500
2/19/2019,378,60620500
2/19/2019,918,60620500
6/18/2019,79,60253538
6/18/2019,139,60253538
3/19/2019,30,15000029958
3/19/2019,30,15000029958
9/13/2019,556,60253538
4/12/2019,1988,60620500
3/15/2019,35,15000030446
8/16/2019,839,189300003509
9/13/2019,237,15000006961
9/13/2019,417,15000006961
7/19/2019,8990,15000032126
2/15/2019,788,60118122
9/12/2019,1599,60097247
7/11/2019,249,60201789
7/11/2019,3116,60041960
6/13/2019,2100,60041960
1/17/2019,8,60615652
3/14/2019,6490,60487808
9/19/2019,35,60615652
9/12/2019,120,60481540
9/12/2019,700,60481540
5/16/2019,4990,60638137
5/16/2019,129,183600020349
9/12/2019,60,60069971
9/12/2019,130,60069971
2/14/2019,1119,3902152
4/11/2019,299,190800015150
5/20/2019,1620,15000032238
5/20/2019,8710,15000033041
3/18/2019,199,60173977
3/18/2019,990,60173977
1/14/2019,595,3939561
3/18/2019,8990,183300051128
5/13/2019,99,15000031715
5/20/2019,229,15000014438
5/20/2019,529,15000014438
6/17/2019,399,60069971
6/17/2019,850,60069971
5/20/2019,8710,60374703
2/18/2019,8290,189900069605
3/18/2019,6590,189300015198
5/20/2019,5990,15000032753
3/18/2019,9680,189900069605
8/12/2019,499,15000008140
8/12/2019,919,15000025355
3/20/2019,2890,15000030452
3/20/2019,678,15000027956
6/12/2019,139,60474721
6/12/2019,1999,60474721
6/19/2019,990,186600008197
6/19/2019,499,60372830
6/19/2019,8799,60372830
1/16/2019,3199,60441476
9/11/2019,680,60428618
8/14/2019,12976,15000031906
4/17/2019,1250,186900005843
7/17/2019,488,15000033773
8/14/2019,599,190500004850
6/12/2019,699,3910530
2/13/2019,220,15000024336
4/17/2019,1990,15000001817
1/16/2019,319,60118122
1/16/2019,838,60118122
1/16/2019,1258,60118122
3/13/2019,1790,189300002669
3/12/2019,900,15000018840
9/17/2019,990,189900011189
8/20/2019,849,186300010841
6/11/2019,7800,15000002484
6/18/2019,999,60367685
6/18/2019,1642,15000015710
8/13/2019,1739,15000015710
8/13/2019,1739,15000015710
8/20/2019,2190,60131720
9/17/2019,720,15000030068
1/15/2019,859,60365096
2/19/2019,3980,60620500
9/17/2019,508,15000030750
9/17/2019,538,15000030750
4/16/2019,1480,60594511
7/16/2019,1788,60110051
2/12/2019,199,15000004323
9/17/2019,590,190500016542
1/15/2019,1299,60609433
3/19/2019,499,15000029958
6/18/2019,420,60253538
8/13/2019,8750,190500015450
1/18/2019,12900,15000005989
3/15/2019,990,15000030452
3/15/2019,6990,60140596
1/18/2019,179,60469759
4/12/2019,199,60620500
4/12/2019,499,60620500
5/17/2019,749,60442282
7/19/2019,1490,15000031205
1/18/2019,1999,3909674
1/18/2019,7490,183300024855
3/15/2019,600,15000030446
9/20/2019,5190,60340548
8/16/2019,2632,15000032126
3/15/2019,4980,60408182
7/12/2019,1699,60198088
7/19/2019,1999,15000029431
9/13/2019,110,15000006961
2/15/2019,1999,15000022806
6/14/2019,6890,60383533
3/15/2019,1099,60246282
4/11/2019,699,60610608
5/16/2019,100,15000031708
5/16/2019,150,15000031708
5/16/2019,150,15000031708
5/16/2019,350,15000031708
7/11/2019,799,60201789
1/17/2019,1390,60615652
6/13/2019,4690,3965555
3/14/2019,419,60386139
3/14/2019,749,60386139
9/19/2019,998,60615652
9/19/2019,3388,60644232
6/13/2019,1789,15000008157
9/12/2019,80,60481540
9/12/2019,110,60481540
7/11/2019,1180,60009970
5/16/2019,3599,60136616
5/16/2019,590,183600020349
9/12/2019,990,60069971
9/12/2019,1399,60069971
9/12/2019,130,60069971
4/11/2019,799,190800015150
3/11/2019,599,60117085
8/14/2019,5790,190500004850
3/13/2019,1990,189300002669
6/18/2019,749,15000015710
8/20/2019,4990,60281739
7/16/2019,1680,60050786
2/12/2019,690,15000029337
2/12/2019,990,15000029337
3/15/2019,2610,60140596
7/19/2019,1490,15000029431
6/20/2019,3590,60237186
5/16/2019,699,60136616
6/13/2019,8888,183300024855
3/12/2019,1680,3969054
2/19/2019,3325,60274529
1/18/2019,5188,60469759
2/15/2019,2190,60118122
3/14/2019,1990,60254795
4/11/2019,5490,190500014884
4/11/2019,6890,190500014884
5/27/2019,399,15000027868
5/27/2019,218,15000027868
4/22/2019,120,3919061
4/22/2019,150,3919061
6/24/2019,99,60153949
1/28/2019,1290,15000028346
1/21/2019,350,15000006949
1/21/2019,780,15000006949
7/29/2019,3888,15000035869
2/25/2019,999,60118122
5/27/2019,1199,60004154
9/23/2019,1588,15000020798
2/27/2019,3288,15000000594
8/21/2019,339,60384038
5/29/2019,278,60224081
5/29/2019,398,60224081
2/27/2019,12500,60118122
3/27/2019,489,60041960
3/27/2019,489,60041960
7/31/2019,299,3965038
3/27/2019,3116,60041960
7/31/2019,59,60261050
1/23/2019,79,60282740
1/23/2019,1988,60620500
1/23/2019,6590,60620500
8/28/2019,589,60271034
8/28/2019,589,60271034
7/24/2019,199,60177838
6/25/2019,99,60315586
7/23/2019,659,15000033773
8/27/2019,3180,60224416
9/24/2019,400,3925034
9/24/2019,645,3925034
1/29/2019,1290,60106439
7/23/2019,450,15000033350
7/23/2019,479,15000033350
9/24/2019,899,60323370
1/29/2019,799,15000027475
7/30/2019,450,15000025355
3/29/2019,1299,60003160
4/26/2019,2990,183300004846
8/30/2019,480,15000018840
3/22/2019,1299,60003160
6/21/2019,119,60253538
5/31/2019,49,60224092
5/31/2019,49,60224092
5/31/2019,80,60224092
5/31/2019,95,60224092
5/31/2019,140,60224092
8/23/2019,449,15000035898
8/23/2019,1790,15000032126
8/23/2019,2800,15000032126
8/23/2019,758,15000035898
6/21/2019,349,189900082366
5/23/2019,1099,15000025834
2/21/2019,1090,60238049
5/30/2019,75,60292153
5/30/2019,534,60292153
3/28/2019,395,183300046227
5/30/2019,699,3961203
5/23/2019,159,60638500
5/23/2019,950,60638500
8/22/2019,990,60422659
3/28/2019,69,60294212
1/24/2019,2100,60041960
7/25/2019,49,183300041148
7/25/2019,999,183300041148
5/23/2019,2688,60367168
5/23/2019,70,60254795
3/28/2019,70,60207768
3/28/2019,105,60207768
3/28/2019,105,60207768
6/27/2019,1999,60299816
2/25/2019,565,15000004091
5/27/2019,209,15000027868
8/26/2019,1090,60353328
4/22/2019,30,3919061
4/22/2019,230,3919061
4/22/2019,799,3919061
8/26/2019,599,60433572
4/22/2019,230,189900005971
4/22/2019,499,189900005971
4/22/2019,699,189900005971
3/25/2019,50,60575039
3/25/2019,799,60575039
6/24/2019,525,60153949
2/25/2019,189,15000004323
2/25/2019,199,15000004323
2/25/2019,749,15000004323
8/26/2019,4390,60063140
2/25/2019,1190,3965555
4/29/2019,2999,60635250
4/29/2019,1190,60338791
5/27/2019,1099,60304304
8/21/2019,2990,15000030452
8/21/2019,999,60384038
1/23/2019,299,60615652
1/23/2019,1490,60615652
7/31/2019,169,3965038
7/31/2019,599,3965038
5/29/2019,180,60003160
5/29/2019,180,60003160
5/29/2019,289,60003160
5/29/2019,289,60003160
5/22/2019,3980,15000031389
5/29/2019,7490,15000022321
8/28/2019,749,15000036087
8/28/2019,5990,60379251
7/31/2019,699,60261050
7/31/2019,990,60261050
5/29/2019,550,60076509
5/29/2019,680,60076509
8/21/2019,1990,60237186
8/21/2019,2790,60237186
7/31/2019,990,15000033516
7/31/2019,849,15000033516
1/23/2019,570,60282740
1/23/2019,1299,60620500
1/23/2019,829,60643646
6/26/2019,449,60184136
6/26/2019,679,60184136
7/24/2019,399,60177838
5/22/2019,1880,60600731
7/31/2019,1890,189900018502
5/29/2019,123,60136616
5/29/2019,909,60136616
8/28/2019,9990,60408184
1/29/2019,2149,60268900
6/25/2019,27888,60315586
7/30/2019,1180,15000009595
1/29/2019,749,60235278
3/26/2019,6999,60128993
1/29/2019,149,3909674
7/23/2019,1899,183300021241
9/24/2019,3690,60368440
7/30/2019,1358,60640035
5/21/2019,6999,183300004929
7/23/2019,2800,60615652
3/26/2019,1180,183300038558
2/26/2019,749,183600015035
5/21/2019,990,60292153
2/26/2019,6890,60356840
8/27/2019,990,186300007304
6/25/2019,1390,60516059
7/30/2019,1899,15000025355
3/26/2019,1950,60658525
5/21/2019,949,189300012750
3/22/2019,1590,60384947
4/26/2019,5999,15000018933
8/30/2019,590,15000018840
5/24/2019,938,15000027739
5/31/2019,1150,189900015272
3/22/2019,5090,60574972
3/29/2019,10900,3962941
1/25/2019,2080,60441110
5/24/2019,599,60004154
6/21/2019,119,60253538
6/21/2019,169,15000015802
6/21/2019,399,60253538
5/31/2019,240,60224092
5/31/2019,359,60224092
5/24/2019,198,60609433
5/24/2019,259,60609433
5/24/2019,599,60609433
8/23/2019,680,15000036437
8/23/2019,599,15000032126
8/30/2019,3780,60160454
1/24/2019,1790,15000002007
5/23/2019,1149,15000025834
5/23/2019,3999,60268900
5/23/2019,23800,15000025834
9/26/2019,378,60501881
9/26/2019,838,60501881
1/24/2019,480,60600208
1/24/2019,1895,60600208
1/31/2019,699,60516539
1/31/2019,1490,60516539
3/28/2019,599,183300046227
1/24/2019,2080,60441110
2/21/2019,590,186600027849
1/31/2019,219,15000022772
1/31/2019,399,15000022772
1/31/2019,599,15000022772
2/21/2019,1190,60262695
3/28/2019,369,60294212
3/28/2019,699,60294212
1/31/2019,1299,3964269
3/28/2019,3490,60638194
3/21/2019,9999,183300021341
6/27/2019,4707,60156986
8/29/2019,8900,189900094858
2/28/2019,799,15000029958
5/23/2019,499,60254795
5/23/2019,4199,60063140
5/30/2019,970,191100002479
5/27/2019,2490,60237186
4/22/2019,2990,15000031775
4/22/2019,5990,15000031775
4/29/2019,1680,60638137
2/25/2019,2400,60118122
1/28/2019,2690,15000027859
4/29/2019,1990,60338791
5/29/2019,1198,60003160
5/29/2019,1198,60003160
7/31/2019,13490,15000031389
6/25/2019,699,60315586
1/29/2019,500,3909674
6/25/2019,3690,60564783
9/24/2019,5990,189900086881
5/31/2019,3690,15000024562
6/21/2019,1192,15000015802
8/22/2019,4599,183600011025
3/28/2019,1198,15000020959
1/31/2019,399,15000022772
3/28/2019,9800,183300038558
5/23/2019,6398,60658937
9/23/2019,1790,3961203
6/24/2019,1590,189900060942
4/29/2019,3690,60338791
8/21/2019,4499,15000006961
8/23/2019,4499,15000036437
5/23/2019,1990,60198088
6/27/2019,3890,60415867
7/8/2019,49,60453725
1/7/2019,50,60069971
1/7/2019,537,60069971
8/5/2019,270,15000009880
3/4/2019,2790,189900054606
6/10/2019,99,60295788
1/7/2019,6490,60241450
8/5/2019,189,15000027868
8/5/2019,239,15000027868
8/5/2019,798,15000027868
8/5/2019,436,15000027868
6/3/2019,849,60286501
7/1/2019,2990,60516059
8/5/2019,10500,15000005283
4/8/2019,169,60329690
7/1/2019,790,189900084829
7/1/2019,2412,3972851
4/10/2019,71,15000027739
4/10/2019,2100,60041960
7/10/2019,49,60235278
4/10/2019,2190,60399831
9/10/2019,799,60116454
9/10/2019,60,60235278
4/9/2019,300,3961624
9/10/2019,79,60253538
4/9/2019,269,60453725
9/6/2019,1257,60090085
5/10/2019,99,3903596
5/10/2019,499,3903596
7/5/2019,2580,183600014405
8/2/2019,699,60487231
9/5/2019,558,60138846
5/9/2019,39,15000028389
8/1/2019,49,15000022826
8/1/2019,399,15000022826
4/1/2019,2290,60651377
7/1/2019,990,15000025757
7/8/2019,499,60453725
1/7/2019,438,60069971
7/8/2019,500,60062443
7/8/2019,500,60062443
7/8/2019,500,60062443
7/8/2019,4800,60062443
9/9/2019,1190,183300022353
7/8/2019,8800,60422659
5/6/2019,1090,60161598
8/5/2019,499,15000009880
6/10/2019,325,60295788
6/10/2019,325,60295788
6/10/2019,325,60295788
4/8/2019,3999,60620500
4/1/2019,1890,3964269
4/1/2019,2249,60384026
8/5/2019,349,15000027868
8/5/2019,572,15000033773
9/9/2019,1990,183300021014
6/3/2019,1199,60286501
1/7/2019,1299,60022397
4/1/2019,299,60253878
4/1/2019,1422,60253878
9/9/2019,1190,60610957
4/8/2019,309,60329690
4/8/2019,666,60329690
5/6/2019,9500,189900071137
7/1/2019,599,189900084829
7/1/2019,99,60177838
7/1/2019,250,60177838
7/1/2019,745,60177838
7/1/2019,7990,3972851
4/10/2019,213,15000027739
4/10/2019,744,15000027739
9/4/2019,3699,15000009595
9/4/2019,7990,189900060942
1/9/2019,123,60610439
1/9/2019,123,60610439
1/9/2019,123,60610439
7/10/2019,229,60235278
7/10/2019,229,60235278
9/4/2019,229,60235278
9/4/2019,699,60235278
4/3/2019,3988,15000030452
5/8/2019,500,189900082938
9/4/2019,679,60442282
4/10/2019,5090,15000031389
5/8/2019,600,189900082938
5/8/2019,2990,60319529
9/4/2019,2690,15000017569
9/4/2019,1090,189900082938
7/2/2019,690,15000033864
7/2/2019,343,15000033864
9/10/2019,1213,60116454
5/7/2019,1450,60638220
9/10/2019,649,60235278
4/9/2019,299,3961624
4/9/2019,2190,60575279
6/4/2019,209,15000018840
3/5/2019,1180,15000026750
4/9/2019,299,60453725
4/9/2019,18999,60315250
9/3/2019,299,3902152
9/3/2019,1990,3902152
9/6/2019,4279,15000033112
6/7/2019,1398,15000032676
5/3/2019,229,60003160
5/3/2019,229,60003160
5/3/2019,198,60003160
5/3/2019,458,60003160
4/5/2019,3890,60138846
3/8/2019,4499,60192356
2/1/2019,1299,60174463
6/7/2019,1788,183600020349
8/2/2019,327,60487231
6/6/2019,699,15000033112
5/9/2019,418,15000006445
4/4/2019,3796,60658937
9/5/2019,990,189300020587
9/5/2019,699,60097247
5/9/2019,990,15000028389
8/8/2019,1890,186300011186
1/3/2019,430,189900063036
2/7/2019,399,15000027868
2/7/2019,278,15000027868
8/1/2019,579,15000022826
6/6/2019,1398,15000032676
7/4/2019,449,190500007064
7/4/2019,629,190500007064
8/8/2019,299,189900090198
8/8/2019,649,189900090198
2/7/2019,729,60612652
2/7/2019,598,60612652
9/9/2019,7980,183300059718
1/7/2019,2990,60241450
1/9/2019,299,60610439
7/10/2019,550,60235278
5/8/2019,1499,190800005587
7/9/2019,1799,60258066
9/10/2019,390,60284979
4/2/2019,2390,183300022904
9/10/2019,490,60253538
7/2/2019,15900,60653118
4/5/2019,1900,60138846
7/5/2019,13490,191100000176
1/3/2019,829,189900063036
4/1/2019,19998,60384929
7/10/2019,6206,60196921
9/10/2019,1790,60284979
5/7/2019,7380,60638220
7/15/2019,25,60650376
7/15/2019,25,60650376
1/14/2019,139,60364986
2/11/2019,69,186900050235
2/11/2019,279,186900054407
2/11/2019,399,186900054407
7/15/2019,79,186900053411
7/15/2019,89,186900009763
7/15/2019,329,186900009763
1/14/2019,384,60364986
1/14/2019,596,60364986
4/15/2019,449,60135285
8/12/2019,79,60145613
2/11/2019,450,60573016
3/18/2019,99,60571299
5/20/2019,139,189900074580
2/18/2019,59,189900006464
2/18/2019,59,189900006464
3/11/2019,850,60196921
3/11/2019,9000,60196921
5/13/2019,151,189900044519
8/12/2019,1588,189900092751
9/16/2019,189,189900011269
5/20/2019,342,183300054073
5/20/2019,342,183300054073
5/20/2019,342,183300054073
5/20/2019,342,183300054073
5/20/2019,1988,183300054073
3/11/2019,799,183600016568
4/15/2019,10,60107885
4/15/2019,10,60107885
4/15/2019,12,60107885
4/15/2019,12,60107885
4/15/2019,13,60107885
4/15/2019,15,60107885
4/15/2019,18,60107885
4/15/2019,20,60107885
4/15/2019,45,60107885
4/15/2019,175,60107885
4/15/2019,450,60107885
